advice	advise
actor	after
addition	addiction
accord	afford
ad	an
add	an
ad	and
add	and
an	and
annoy	annoyed
an	ant
and	ant
ant	anti
anti	antique
ant	apt
altitude	aptitude
are	arm
arm	armed
arm	army
armed	army
are	art
arm	art
artery	archery
ad	ash
add	ash
an	ash
ad	ass
add	ass
an	ass
ash	ass
ass	ask
aid	aim
aide	aim
assistance	assistant
air	are
ambiance	ambient
applaud	applause
an	aunt
and	aunt
apt	aunt
aunt	anti
arise	arouse
accord	award
afford	award
away	awake
absence	absent
a	awe
awe	are
aid	ape
aide	ape
aim	ape
babe	baby
adept	adopt
art	arch
ad	bad
add	bad
back	bad
attitude	altitude
attitude	aptitude
bad	badge
badge	badger
back	bag
bad	bag
baboon	balloon
back	bank
bank	banker
are	bar
bar	barn
bar	barred
barn	barred
and	banned
bad	banned
babe	base
all	ball
ass	bass
back	bass
bad	bass
bag	bass
back	bat
bad	bat
bag	bat
bass	bat
babe	bathe
base	bathe
back	bath
bad	bath
bag	bath
bass	bath
bat	bath
bat	batter
batter	battery
bay	babe
bay	base
bay	bathe
be	beam
air	bear
bar	bear
barred	beard
bad	bed
bear	bed
bearing	bedding
bee	beam
bar	beer
bear	beer
beer	beard
aid	ale
aide	ale
aim	ale
ale	ape
barely	barley
babble	barrel
bag	beg
bear	beg
bed	beg
begin	beginner
act	actor
act	ant
act	apt
act	aunt
ball	bell
bear	bell
bed	bell
beg	bell
ball	belle
bear	belle
bed	belle
beg	belle
bell	belly
belle	belly
belly	barely
angle	angled
aside	assign
aside	beside
arrest	best
beast	best
bent	best
batter	better
arm	arms
armed	arms
arms	army
aid	bid
aide	bid
bad	bid
bed	bid
beer	bid
bid	beard
action	auction
back	bang
bad	bang
bag	bang
bang	bank
bang	bass
bang	bat
bang	bath
bag	big
beer	big
beg	big
bid	big
big	bigger
ale	bill
ball	bill
beer	bill
bell	bill
belle	bill
bid	bill
big	bill
back	beak
be	beak
beak	beam
bee	beak
ball	balls
beach	birch
bar	bark
bark	barn
bark	barred
bad	bird
bed	bird
bid	bird
bird	birdie
bath	birth
bird	birth
bat	bit
beer	bit
bid	bit
big	bit
bill	bit
bike	bite
bit	bite
batter	bitter
better	bitter
bigger	bitter
bit	bitter
back	black
accuse	acute
bearing	blaring
be	beep
